Paper,Metric_Category,Specific_Metric,Value,Unit,Notes,System_Boundary,Functional_Unit,Impact_Category,Allocation_Method,Energy_Scenario,Reference_Location
Review Paper (2023),Process Comparison,STRAP solvent recovery,98.5,%,Literature reported,Process-specific,Per kg solvent,Recovery efficiency,N/A,N/A,Table 2
Review Paper (2023),Market Context,Virgin LDPE price,1100,USD/tonne,2023 market average,N/A,N/A,Market price,N/A,N/A,Section 4.2
Review Paper (2023),Market Context,Virgin PET price,850,USD/tonne,2023 market average,N/A,N/A,Market price,N/A,N/A,Section 4.2
Review Paper (2023),Market Context,Virgin EVOH price,2500,USD/tonne,2023 market average,N/A,N/A,Market price,N/A,N/A,Section 4.2
Review Paper (2023),Market Context,Mechanically recycled PET price,650,USD/tonne,2023 market average,N/A,N/A,Market price,N/A,N/A,Section 4.2
Review Paper (2023),Global Scale,Multilayer plastic packaging waste,12,million tonnes/year,Global estimate,N/A,Annual global,Waste generation,N/A,N/A,Section 1
Review Paper (2023),Global Scale,Current mechanical recycling rate,14,%,Of multilayer plastics,N/A,Per waste stream,Recovery rate,N/A,N/A,Section 1
Review Paper (2023),Global Scale,Potential for solvent-based recycling,65,%,Of multilayer plastics technically recyclable,N/A,Per waste stream,Technical potential,N/A,N/A,Section 5
Review Paper (2023),Process Technologies,Number of commercial/pilot plants reviewed,7,count,Including CreaSolv APK PolyStyrene STRAP,N/A,N/A,Technology survey,N/A,N/A,Table 2
Review Paper (2023),Process Technologies,Temperature range all processes,25 to 200,°C,Across all dissolution technologies,N/A,N/A,Operating conditions,N/A,N/A,Table 2
Review Paper (2023),Environmental Comparison,GWP reduction vs virgin production,25 to 60,%,Range across dissolution technologies,N/A,N/A,Climate benefit,N/A,N/A,Figure 3
Review Paper (2023),Environmental Comparison,Energy consumption range,2.5 to 8.5,MJ/kg polymer,Across dissolution technologies,N/A,1 kg recycled polymer,Energy consumption,N/A,N/A,Table 3
